84.76,0.053441,0.031241,21,0.20243,0.022112,0.072271,0.30596,12.406,3.9326,12.433,0.3163,30.541,400.21,846.71,432.62,1.9572,1515.7,0
73.411,0.07269,0.083187,124,0.14045,0.058863,0.084277,0.69844,170.56,77.135,48.86,1.5787,324.6,2078.8,3032.6,2657.6,1.1411,6144.8,1
76.055,0.16082,0.21156,148,0.25641,0.14979,0.17115,0.87521,171.86,140.69,235.75,0.59677,558.59,2899.8,2687.8,1491.6,1.8019,5930.1,1
74.226,0.084564,0.10201,87,0.24691,0.072218,0.095325,0.7576,141.1,73.218,66.16,1.1067,321.04,2123.2,2339.7,2652.7,0.88201,5748.5,0
123.88,0.088389,0.11067,60,0.16639,0.078318,0.097424,0.80389,272.55,80.804,166.75,0.48459,578.67,911.47,2738.5,4473.9,0.61211,8917.6,0
182.1,0.25596,0.33795,209,0.12579,0.23911,0.27177,0.87984,3258.8,254.18,1466.7,0.1733,5442.1,2435,9313.7,19466,0.47846,27373,0
266.83,1.445,1.9837,240,0.16502,1.4038,1.485,0.94532,6.33E+05,6.97E+05,3.62E+05,1.9247,1.83E+06,1.73E+05,2.35E+05,76368,3.0736,3.42E+05,1.00E+00
135.7,0.12895,0.10329,58,0.16694,0.073097,0.16708,0.43751,724.01,119.25,428.85,0.27807,1330.8,2104.7,5716.7,6607.5,0.86518,13164,0
87.408,0.047977,0.041423,17,0.21882,0.02932,0.061188,0.47918,0.68235,0.28743,0.11246,2.5559,1.113,67.887,196.79,159.63,1.2328,370.09,1
88.5,0.0892,0.095067,43,0.18349,0.067284,0.10671,0.63056,5.7727,5.9858,5.4863,1.091,18.79,497.1,690.94,128.04,5.3964,944.01,1
85.747,0.039136,0.034811,8,0.21692,0.024641,0.049558,0.49721,0.2211,0.139,0.068537,2.0281,0.49546,61.074,109.19,98.701,1.1063,232.03,1
76.107,0.12544,0.072967,87,0.23202,0.051643,0.16972,0.30429,880.26,163.38,108.76,1.5022,1154.1,2863.6,6793.1,7583.6,0.89575,15316,0
61.595,0.41243,0.53554,135,0.31249,0.37927,0.44312,0.85591,1.37E+05,90652,1.05E+05,0.86554,3.43E+05,61422,46339,94754,0.48905,1.75E+05,0
76.876,0.11688,0.093798,187,0.18657,0.066386,0.15137,0.43857,99.507,17.274,56.031,0.30829,193.95,852.7,2188.5,1812.8,1.2073,3979.9,1
87.747,0.16164,0.18588,118,0.32362,0.13165,0.18688,0.70444,2120.2,1022.8,2385.9,0.42868,6074.2,8093.2,6745.9,10287,0.65578,23309,0
